,fraudulent,company_profile
6717,f,"socialwellth is a las vegas, nevada based social engagement company focusing on leveraging consumer profile data, localized community resources, emerging media tools and gamification to create trusted connections between consumers and their healthcare   on the strengths and experiences of the nevada gaming industry, who has learned the power of harnessing consumer profile data into captivating relationships, socialwellth, is poised to launch the country’s first profile driven hyper-personalized consumer health connection network.this network will leverage social and health data, localized community resources, social media tools and gamification to create a trusted connection between consumers and their healthcare sponsors.our platform strategies and solutions will create a centralized hub enabling partners to integrate and aggregate disparate online and offline solutions into a compelling, magnetic experience, which will in turn lead to sustainable achievements in day-to-day balanced living."
5585,t,nan
7666,t,nan
8582,f,"the story of the great chicago fire of 1871 isn’t really about the fire. it’s about what happened next: a remarkable moment when the most brilliant engineers, architects and inventors came together to build a new city. their innovations – born of passion and practical ingenuity – shaped not just chicago, but the modern world. what started 140 years ago continues to this day. chicago’s brightest digital designers, engineers and entrepreneurs are shaping new technologies, disrupting old business models, and resetting the boundaries of what’s possible. if that sounds like you, join us. come to a place where you can share ideas, make mistakes, work hard, build your business and, with a little luck, change the world. welcome to 1871. from photo-editing apps to interactive healthcare programs, 1871 has a member company that fits your interests and expertise! whether you’re a designer, a marketing expert, or software developer, we have a startup looking for you. each company is looking for a way to innovate their industry and is looking to do so in creative and original ways. we are looking to match you with one of our amazing member companies based on the information you provide to us and their current needs. if you believe that you have the skills and vision to help digital startups get their start, 1871 is the right place for you!"
16908,f,"lei home enhancements, is an ohio based company that has been installing windows, siding, doors and decks in homes throughout the tri-state, dayton, indianapolis and columbus for over seven years. with pride in our work, honesty and integrity in our professionalism and a companywide dedication to customer satisfaction, we offer a wide range of remodeling services to homeowners. whether your project is large or small, we understand the trust and confidence each customer places in our skilled hands. that's why we use only superior quality products and exceptional craftsmanship to achieve long-lasting beauty, performance and value for your home. we take every measure to carefully ensure our craftsman are properly trained in all phases of home improvement. likewise, our sales staff and customer service representatives draw upon their years of experience for quality installations. from day one, we will welcome any questions and concerns you may have during the renovation process. it is our goal to provide you with beautiful and practical home improvements that will stand the test of time, along with the peace of mind that you have made an excellent selection for your home."
17538,t,nan
15740,f,"letterstream is an innovative printing and mailing company leveraging automation to assist our customers in accomplishing their communication needs. we hire awesome people to join our team and to participate with us to accomplish our goals. we are known in the industries we serve as the leader in speed, excellence and customer service. our customers love doing business with us because we take stellar care of them. in order to offer such exceptional service, we need individuals who are committed to our goals, who can put customers and co-workers ahead of their needs and who can engage with our automated processes. if you are an likeable person who has a desire to do things right and learn new skills, you might be the right person to join our team. one of the great things about working at letterstream is that you don't have to show up with all the answers, you just need to show up ready to join your fellow team members in their committment to making letterstream a great vendor and a great place to work. visit our website   visit our blog  "
17795,t,nan
14002,t,nan
10169,f,"novitex enterprise solutions, formerly pitney bowes management services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. for almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. as a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth."
