,fraudulent,description
6717,f,"as operations lead it will be your responsibility to design, implement and manage deployment and day to day production operations of all technology platforms. you must be a passionate leader with the ability to pick up this role and run with it with little supervision. you must also be an exceptional communicator who is comfortable interacting with everyone from customers to stakeholders and executives. it is also important that you exhibit strong technical and business savvy as well as a firm commitment to customer service. responsibilities include the following: building a high-performance service operations team providing world-class it support to external customers with a focus on exceptional customer service and high renewal rates define, own and manage customer service tools and workflow for assurance of cross-organizational communication of issues and activities. define and distribute comprehensive metrics on customer service performance. own creation of department strategy based upon and itil model concepts developing performance standards and report metrics based on industry best practices building strong partnerships and a successful cross-department service delivery model handling escalated customer calls demonstrating deep technical expertise drive root cause analysis (rca) and preventive action item (pai) to improve delivery and operational stability own and drive transition of technology and services into production support ensuring all service level agreements (sla) for our it service offerings for both internal and external customers are met or exceeded. report results on a monthly basis conduct research and make recommendations upgrades and improvements to it infrastructure and processes to meet changing business needs define proactive monitoring approaches to assure operational stability and sla adherence grooming staff members for further career growth within the company assist in the preparation of rfp’s, bid proposals, contracts, scope of work reports, and other documentation for business units’ projects and associated efforts assure the operational infrastructures meets all compliance and security requirements as defined by our operating controls assure the operational infrastructures delivers against high-availability and disaster recovery objectives define and implement it operations policies, procedures and best practices manage internal and external service providers "
5585,t,"greetings from vam systems….. vam systemsis a business consulting, it solutions and servicescompany with operations in uae, qatar, bahrain, usa, australia, singapore india. we offers a comprehensive list of services in the field of it infrastructure management, cloud services, it consulting services, banking, management resources, information technology development, telecom, aviation, retail management egovernment offerings. vam systems is currently looking for system administrator for our bahrain operations. certifications:- mcsa and vmware certification. experience required: 5+ years terms and conditions: joining time frame: 2 weeks (maximum 1 month). the selected candidates shall join vam systems – bahrain and shall be deputed to one of the leading organizations in bahrain. should yoube interested in this opportunity, please send your latest resume in ms word format at the earliest at email_b08cf5e4101b4b7b7594fe3081f94f7f9a0f2d6192fb5d4a1a72ecf03c816e83 or call us phone_18a826c883d3d597793b4d350191430bd42ce0b93fe27a781a52e8a89e9ba78f. "
7666,t,"we are seeking individuals to be connected with companies who are hiring employees directly to work from their homes. you will find both full-time and part-time opportunities in a variety of career fields including but not limited to: data entry, customer support, billing, typing, and administrative.these positions guarantee wages ranging from $12 per hour up to six figure salary. this includes bonuses, benefits, and flexibility over your work schedule.legitimate work from home jobs are going to require that you have skills relevant to the position you’re applying for. training is provided based on the position."
8582,f,"budding sales whiz job description rippleshot, changing the game to fight credit card fraud, is looking for asales whiz to drive our direct sales process. you will initially be focusing on early adopters of ourcloud-based big data analytics platform designed touncover merchant data breaches and stop credit card fraud sooner.the sales whiz will work closely with our sales lead to grow rippleshot sales. we are looking for an ambitious and driven sales oriented individual to join our team growing team of 5 in chicago. you will have significant opportunities for developing your sales techniques as rippleshot grows in animpactful and exciting space."
16908,f,essential duties and responsibilities include the following: -provides sales support to sales representatives. -coordinates sales for assigned accounts. -speaks with customers -handles customer concerns and issues -completes appropriate paperwork 
17538,t,"this position is for an administrative assistant whose job will primarily consist of calling prospects that have expressed interest in our services and have requested to be contacted. work-from-home is an option. there is absolutely no cold-calling involved, what-so-ever. this person will need to be pleasant, professional, and comfortable with talking to senior-level managers and executives. attention-to-detail is a must as there is to be extensive tracking that needs to be made with each prospect."
15740,f,"part time position available immediately to assist in warehouse and mailing department. tasks involve putting away shipments, stocking carts, collapsing cardboard boxes, working on mailing projects and various other items as assigned. we are looking for someone who can work afternoons from 1:00 pm to 4:00 pm on monday, wednesday and friday in our north scottsdale location. students welcome to apply. starting pay $9.00. "
17795,t,"we have several openings available in this area earning $1000.00-$2500.00 per week. we are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes. the preferred applicants should be at least 18 years old with internet access. no experience is needed. however the following skills are desirable: "
14002,t,"6* ultra luxury american cruise company is urgently looking for the following positions:*hospitality- for the many bars restaurants on board.*retail- for the duty free shops boutiques on board.*housekeeping- for the housekeeping cleaning jobs.*office admin- for the front desk tour booking jobs*other positions- dj's, security staff, photographers nannies. vessel type or operation:6* ultra luxury cruise.certification experience:previous experience (not required)good english speaker, some customer service skills, wanting to learn work.job type:perm.sailing area:world wide.benefits:on board en suite accommodation and food, medical cover for duration of contract,world work visa, free wifi,tax free salary more! job description:a 6* ultra luxury cruise company are looking to recruit hardworking, enthusiastic cruise personal.this exciting opportunity is available to candidates who are willing to learn, work are flexible.candidate will also have some customer service skills, skills in public relations and are good english speakers.rotation is 4 months on 2 months off. great salary in euros (tax free)pay is discussed via communication after full application proccess. if you are looking for a new adventure.. apply today! please send your resume to: email_6e824a2834da27298c6d199e4d1829b32ca54fc0bacb0acf6d748f04fc69953b (coppy paste this e-mail address)we will contact you shortly after within 24 hours. looking forward to have you aboard.adrian westdept. rec."
10169,f,"the customer service associate will be based in toronto, on. the right candidate will be an integral part of our talented team, supporting our continued growth. responsibilities include but are not limited to: providing reception services, coverage and being the liaison for the scheduling and maintenance of conference duties. we are looking for team players who are proactive and are willing to do “whatever it takes” to get the job done ideal candidate has a “can do” attitude greet visitors, answer phones, and direct calls appropriately be well spoken, clear and patient with all interactions remain calm and professional in stressful situations follow documented procedures and other duties as mutually agreed enforce and handle security compliance standards regarding visitor’s badges coordinate conference room reservations and room preparation maintain conference room standards as designated help resolve employee and customer concerns/issues administrative services/processing large volume reports/invoices using excel and assisting manager with quarterly business reviews lift large bundles of mail and make mail deliveries handle time-sensitive and confidential material perform duties and special requests as assigned bymanagement and client participate in cross-training and be flexible to perform varying roles whenever necessary balance workload; provide guidance and direction to team serve as focal point for communication with customer and company personnel ensure operating and quality standards are met based on service objectives maintain accuracy of required reports, logs and measurements ensure the highest levels of customer care ensure adherence to business guidelines, safety security procedures support financial results by minimizing site waste and rework dressing in professional attire perform other tasks as assigned "
