,fraudulent,requirements
6717,f,"4 year degree in information technology or computer science 10 years’ specific experience managing technology operations inclusive of customer support organizations and delivering operational excellence minimum 4 years successful leadership of a technical operations team knowledge of current protocols and standards extensive enterprise application support experience experience with digital and mobile apps employing cloud architecture thorough knowledge of storage (san/nas) technology, active directory gpo, and windows xp, windows server 2003 and 2008 experience in managed service provider environment ability to make sound and logical judgments availability to be on call as required to drive incident response ability to travel up to 10% must be authorized to work in the us ability to pass a background investigation highly desired: graduate degree in technology or business microsoft certifications experience in the consumer ehealth sector "
5585,t,nan
7666,t,home office suppliescomputer with internet accessquiet work area away from distractionsmust be able to work independently and get the job done with little guidance.
8582,f,qualifications the rippleshot teamneeds you to work closely with our sales lead prepare for sales presentations follow through on opportunities and help close deals improve the sales process for our customer targets preferred experience: experience selling to small and mid-sized banks 
16908,f,"requirements / qualifications: - strong organizational and communication skills. - able to handle several tasks at one time. - attention to detail. - customer service experience necessary. - general office experience, including typing - strong computer skills - able to analyze sales related reports - high school diploma or equivalent required. - pc competency including familiarity with ms office."
17538,t,"must be proficient with outlook some knowledge of quickbooks excellent customer service skills excellent grammar, spelling attention to details ability to prioritize "
15740,f,no experience necessary as we will train you to perform all tasks that are assigned to you. must have reliable transportation and be able to show up when scheduled to work. must have a friendly personality and be willing to accept training and instruction from others. 
17795,t,"basic computer and typing skills, ability to spell and print neatly, ability to follow directions."
14002,t,"certification experience:previous experience (not required)good english speaker, some customer service skills, wanting to learn work."
10169,f,"required qualifications: high school diploma or equivalent (ged) required minimum of 1 year customer service related experience required computer proficiency in email environments, ms office, outlook strong organizational and administrative skills required ability to communicate both verbally and written with customers and client personnel experience coordinating and designating work to employees ability to excel in a fast-paced, multi-tasking, team environment ability to effectively work independently and in a team environment ability to adhere and administer companies policies and procedures creative thinker outstanding work ethic target-driven enthusiastic and passionate sitting for long periods of time ability to meet attendance policy "
2364,f,"constantly innovate  , starting with a complete redesign of the site from the ground up. you'll join a world-class team that is hungry, full of knowledge to share, and will result in a career defining experience. this position is full-time in dublin, ireland. skills and attributes expert knowledge of turning wireframes and mockups into html / css with a working knowledge of photoshop and illustrator a passion for design, user experience, marketing, and information architecture understanding how to fine tune a website and measure the impact on behavior you get how the mobile experience differs from the experience on a desktop comfortable adapting your implementations to a cms able to create email templates that work well everywhere they're seen strong interpersonal and relationship building skills; ability to work well as an individual and within a team experience and education minimum of 2+ years experience with html5, css3, object-oriented javascript, dom scripting, and jquery bonus skills design or other involvement in the visual arts and some portfolio pieces to share experience working with squarespace experience and interest in making webpages that load fast on desktop and mobile "
8702,t,home office suppliescomputer with internet accessquiet work area away from distractionsmust be able to work independently and get the job done with little guidance.
17792,t,"high school or equivalent education required. bachelor's degree and master's degreein related area preferred. 5 years related experience, including at least 3 years inmanagerial roleprevious experience as front office manager in a luxury hotel or resort property. skills and abilities required: * impeccable communication skills.* strong determination and diligence.* passion for customer service.* excellent problem solving skills.* self-confident and pleasant.* strong motivation skills.* an eye for detail.* well organized.* excellent leadership skills.* basic computer skills."
3980,f,"a passion for affiliate marketing and a desire to innovate within the space to create a market leading program possess strong organizational skills for multi-tasking and prioritization of daily tasks whilst working to tight deadlines, but without compromising on quality strong client-facing skills excellent customer service outstanding presentation and communication skills "
14112,f,good working knowledge of python or similar language knowledge of common machine learning techniques a focus on text-based machine learning problems ability to realise when big data isn't big ability to work in a tight-knit team 
9227,f,"bachelor's degree in computer science or a related field, or equivalent professional experience 8+ years of professional experience in software development 5+ years of professional experience in ruby on rails development advanced knowledge and experience in software technologies, programming languages and methodologies familiarity working with the linux platform, scrum/agile, amazon web services or engine yard ability to effectively communicate in american sign language (preferred) "
5600,t,"education and experience high school diploma or equivalent business college training an advantage previous office experience may be requested but this can also be entry level position competent computer skills including ms office or equivalent internet skills including use of e-mails, group messaging and data collection numeracy and literacy skills key competencies organization and planning skills work management and prioritizing skills verbal and written communication skills problem solving ability attention to detail accuracy flexibility reliability teamwork "
7241,f,"responsibilities: expert use of sketchup. possess strong arsenal of techniques and deep understanding of digital tools to efficiently bring concepts to life. clear understanding of time saving methodology in a digital workflow. expert use of the built-in tools, plus additional plug-ins that expand features or improve the final product. collaborate with lead creative team to realize client work. deliver work that exceeds client expectations. qualifications and experience: expert understanding of sketchup 5+ years experience working in 3d. clear and concise communication and organizational skills. ability to translate creative direction into tangible deliverables. "
6660,f,"qualifications: • demonstrated sales accountability • client service experience • ability to effectively communicate with clients, peers and supervisors • availability for varied weekly shifts including weekend, closing and holiday shifts applicants must be at least 18 years of age, demonstrate reliable transportation, and complete an application and assessment at  "
494,f,nan
4753,f,"description:the ideal candidate would be innovative and have great problem solving andanalyticalskills. he\she should be able to understand software internals, debug problems usinga variety of techniques, and write automation with c. required skills: computer science and 5+ years professional work experience in application development. software development experience in c experience developing on .net framework platform using visual studio experience over sql. 3+ years in automated testing environment with strong experience with service test frameworks and tools good organizational and communication skills good interpersonal skills, works well independently and in a team environment flexible, adapts to change. self-starter, and self-motivation is a must experience developing testing framework is a plus. ** apply with the following details **1) number of years of experience(yrs) in application development:2) number of years of experience(yrs) in c:3) number of years of experience(yrs) in .net framework platform using visual studio:4) number of years of experience(yrs) in sql:5) number of years of experience(yrs) in automated testing environment:6) number of years of experience(yrs) in testing framework:7) expected rate:8) latest resume:9) how soon the client can interview you?10) how soon can you join?11) current location:12) willing to relocate to palo alto, ca:13) reason for relocation:"
9831,t,"required qualifications: •2-5 years oil treating, water plant and steam generator experience, preferred. •good understanding of oilfield production and process equipment. •good communication, organizational, and interpersonal skills. •hs diploma or equivalent or greater. any relevant, formal training or certifications a plus."
12438,f,"degree in journalism, english, communications or related field. strong managerial skills with at least three years in a management role for an online publication. ability to work independently while remaining accountable to and taking direction from content director. ability to see projects through from conception to execution. experience working within a content management system (wordpress). strong time management, communication and interpersonal skills. ability to manage multiple projects simultaneously. previous experience in personal finance a plus. this is a full-time position based in our el segundo office."
