,fraudulent,benefits
16134,f,nann
9915,f,- paid internship (£8/hour) - great work environment - working directly with founders of the business
17560,t,nann
6846,t,"residual income, travel dollars, car dollars, the ability to rise in pay grade rapidly as long as you put in the work you will see results"
5168,f,flexible timetable.
1330,f,nann
16046,f,"is the belgian pioneer in terms of crowdfunding. is the crowdfunding platform to financecreativity entrepreneurs.we want to contribute to create a new generation of entrepreneurs and angels by providing a platform that connects inspiring projects with a new class of angels that can change the way great ideas get realized. we are extremely flexible: in terms of how you prefer to operate. you can work from home, or at out of our office. we'll figure it out. in terms of hours you have the opportunity to work for an exciting start-up with huge ambitions. you become part of an incredible team. this is learning role, which can lead to future employment, but also give you a very broad scope of the startup and innovation world, and hence create an advantage to learn from within the industry."
17707,t,nann
12805,f,"we offer an exciting challenge and an enjoyable working environment, with opportunity to grow as we do. we'll even pay you (fairly)!"
962,f,nann
1843,t,"health, dental, life and add insurance, employee wellness and 401k time off and holidays with generous company discounts"
17580,t,vacations and others.
12609,f,nann
11203,f,nann
5031,f,nann
15243,f,nann
16158,f,"why flashfunders? not because we offer a competitive salary + stock/equity options + benefits. not because we offer all the usual startup perks we’ve all come to love. not because we are truly disrupting the way startups receive funding. but: because you will be part of the founding team, shaping the company. because at flashfunders, you will have the opportunity to push the envelope, choose features you want to work on and make industry leading products others want to use. because you will have the freedom and opportunity to be a part of something that has not been done before. because you want to work at a place that values ""getting things done"" more than ""working the startup hours."" but most importantly, because you want to work with other incredible minds and you are aligned with flashfunders vision. flashfunders is not just looking for an employee. we are looking for core team members to help us build an industry-leading platform, which will become the standard in online capital fundraising. we’d love to hear from you. "
9905,f,nann
8755,f,"you will be remunerated as follows: rs. 8,500 per month refund of bus transport "
6202,t,"the current, standard company health, life, disability vision, anddental insurancecoverage are offered with this agreement per company policy. your eligibility for other benefits, including the 401(k) andbonuspotential will take place per company policy. the company benefit offerings and employee contribution to payment for benefit plans are determined annually. as an employee of bradley contracting group corporation, you will receive ninepaid holidays, determined annually by the company. you are eligible to accrue vacation time off at one week per year. vacation time off increases per company policy.personal days are accrued at seven days annually. all employee benefits are subject to periodic company review and can be changed with or without notice."
11624,f,nann
15110,f,our offer: competitive salary two-week intense training at our office in berlin flexible working hours (10-20 hours per week) after initial training exposure to international ft global 500 clients jump-start into strategy consulting industry 
9614,f,"in addition to a guaranteed base salary, commission and bonuses, we offer: state-of-the-art faciliites including use of: cloud based call center platform, computer network directly tied into our delaware based team and video conferencing support. work schedule flexibility "
6012,f,"working at riskalyze we’re in downtown auburn, ca. our new space is being built out for our team to move into in january. everyone has a new macbook air and access to whatever workspace you can think of - standing desks, couches, beanbag chairs, yoga balls, etc. we only have one team meeting per week. everyone works really, really hard because we're excited. we’ve grown over 800% in the last year with loads of users coming on board every day. we have people beating down our doors to use riskalyze and we love having a passionate user base. we have lots of cool startup-y perks like team lunches, game nights, beer tastings, and free drinks. we believe in taking care of our team with generous salaries, benefits and equity. feel free to reach out to email_5c26dc82da6f767f67cede5cc4099993f40af21ef52382306d9783dbb1cb633fif you have any questions! "
12398,f,nann
893,f,compensation: commensurate with experience
10107,f,nann
98,t,"benefits what is offered: competitive compensation package 100% matched retirement fund annual vacations paid for by company significant bonus structure opportunity for advancement full benefits package annual performance reviews and base salary increases annual cost of living increases sound, clean, safe and enjoyable working environment company culture world renound management and executive team who promote from within, leverage careers and invest in employees for the long-term success of their careers and overall company/employee goals qualified candidates contact:darren lawson | vp of recruiting |email_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c| phone_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1 "
557,f,nann
6056,t,"this position is high paying and you will be paid weekly via direct deposit, check, or company provided debit card. candidate will be paid $50-$70 per hour commensurate with experience and education. apply now atemail_c9b5d8a60f3d80be13dd02ffe5d212c047b92ba679c296dfae7c102952fbb534and get started today! "
6404,f,"we want you to come on our board to: join people who arepassionate about digital/tech take part in creating some cool stuff workflexible working hoursif you need to work fromanywhere you want (remotely)! or from our offices located in the centre ofpoznan or warsaw perks benefits: joininginternational conferences english lessonsonce a week half-pricelunches fifa, xbox other games netguru dinneronce a month you've got those skills? apply! "
2271,f,"well, apart from paying you in the currency you desire (gold, bitcoins, or just cash!) you will be part of an awesome team of innovators, creators, and do-ers that enjoy building new products the world hasn't seen yet. we encourage continual upskill and learning through supporting our employees at conferences and training events. and, we offer a creative team working environment in our modern office in auckland, new zealand, with bush views, free snacks and coffee machine, latest macbook pro's, office 3d printer, not to mentionlotsof miniature video cameras that you can play with, whether you're into snowboarding, motor racing, dirt bikes, or just want to strap a camera to your cat andfind out where he goes every day."
4189,f,"we may be a young pup of a company, but we can offer a great culture and work environment which is extremely important to us, as well as a competitive salary and share options (did we mention all the cute dog photos, and the regular visits from our furry friends?). our office is currently in victoria and we’re looking to move towards the shoreditch area in the coming months."
2522,f,nann
1662,t,"benefit includes: health and welfare coverage, domestic partner coverage, a retirement program, employer contributions towards the health care spending account, as well as other offerings:medical,dental,vision,life/addshort term disability,long term disability,flexible spending account401(k) with company match,travel assistance emergency services,employee assistance program,employee referral program,patent award program,educational assistance program,paid time off,wellness program,additional voluntary benefits"
15946,f,"at atlas lift tech we are innovators and we value individual contributions! we encourage continued education, priding ourselves on offering re-certification assistance. we offer a competitive compensation package based on your valuable experience. other benefits include: health insurance for full-time status vacation / sick / holidays flexible spending account commuter benefits promotional opportunities for driven employees free health screenings free yearly immunizations innovative environment "
14208,f,nann
6080,f,"proffessional development opportunity: if the internship proves to be an amazing experience, it will move into a full-time job. this is the chance to try it out and see if it is a good fit for both of us. develop a network of professionals for the future create a great addition to your resume "
4144,f,"at fivesky, our employees are our greatest asset and the focal point around which we operate, therefore, we always want the best for our employees. in addition to offering competitive compensation plans and long-term career opportunities. we offer an attractive mix of benefit plans to our employees that include: a health plan, 401k, provisions for vacation, holiday pay, and sick days. employees qualify to join these plans and other sponsored benefits after 90-days of employment. fivesky is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, genetic information or any other characteristic protected by law."
5229,f,nann
9590,f,"full medical after probation open and english/tech working environment lots of gadgets, iphone, android, google, facebook, twitter related experience super challenging, fast paced and make change full ownership responsibility of the work you're assigned "
6087,t,nann
641,f,nann
6767,f,nann
12499,f,stock option grants in a fast growing company catered lunch dinner served daily health / dental / vision 
7075,f,"our company offers a competitive salary plus bonuses as well as a comprehensive benefits package to our full-time employees including: 40 vacation hours after 6 months of employment, 80 vacation hours after 1 year of employment 6 paid holidays as well as an anniversary holiday benefit paid personal and sick leave after 90 days of employment health, dental, life, and disability insurance as well as aflac supplemental insurance a 401k plan with a company match after six months of employment, however, we have quarterly enrollment periods. "
1606,f,nann
14540,f,full benefits competitive bonus 401k program pto casual work environment creative friendly interested in learning more? apply today and one of our scouts will be in touch with you shortly.
17584,t,nann
1254,f,flexible emploment type full or part time.
17556,t,nann
9766,f,nann
10392,f,nann
8366,t,"organizational and planning, time management skills and the ability to prioritize work, data management, attention to detail and accuracy, problem-solving, adaptability, customer service orientation, team work, communication skills - verbal and written, and confidentiality."
17570,t,"• ers, “emergency road service” 24-hour dispatch – you are provided help when you run out of gas, when you have a flat tire or when your battery dies. you will also receive towing services up to 100 hundred miles (100 miles) from where your car has broken down.protection is not limited to your normal vehicle—coverage is also available for your boat, motorcycle, rv, dually truck or even your livestock trailer—all at no additional cost.• access to a locksmith when you are locked out of your vehicle.• emergency room expenditure protection(this benefit covers the cost of splints, casts, lab work, x-rays, ivs, transfusions, anesthetics, nursing care, doctor care and facility care.)• receive a $150.00 daily hospital benefit—up to $54,750(this benefit is not paid to the facilitating hospital, but is paid directly to you. if your normal auto insurance policy covers your hospital and doctor expenses, you keep this money.)• accidental death coverage plan• accidental death benefit plan• traffic court defense disbursement• stolen automobile reward• stolen farm equipment reward• paid legal defense fees—for both moving violations and personal injuries—up to $3,000• receive a $500 arrest bond certificate• receive up to $25,000 jail bail bond• stolen credit card protection• receive travel planning and assistance service whether you are traveling for business or for pleasure• discounts ranging from 5% to 40% at car rental companies and major hotels• discounts from 15% to 60% at major providers of vision, dental and prescription*mca may offer additional benefits as the program features and benefits are enhanced.*benefit coverage options may differ by state*"
9811,f,nann
17625,t,"- full-time, salaried position - potential for quarterly individual-based and annual company-based performance bonuses - firm-paid premiums for medical, dental and vision insurance. 100% of premiums covered for employees. - paid vacation and sick days - firm-paid monthly health and wellness allowance - firm-paid parking"
6883,t,nann
17724,t,salary will base per hour which $30.75 per hour
