,fraudulent,company_profile
16134,f,vtex is the leading e-commerce solution provider in latin america.
9915,f,"dreamers creators is a creative agency that begun as a means for its founders to pursue varied creative interests. we are a marketing strategy and execution firm for the entrepreneurial enterprise. we also specialize in branding, filmmaking and design. we create fascinating brand strategies, products, and one-of-a-kind experiences for select few clients."
17560,t,nann
6846,t,nann
5168,f,nann
1330,f,nann
16046,f,is the crowdfunding platform to financecreativity entrepreneurs. we want to contribute to create a new generation of entrepreneurs and angels by providing a platform that connects inspiring projects with a new class of angels that can change the way great ideas get realized.
17707,t,nann
12805,f,"founded by serial entrepreneur clive jackson and launched in 2011, victor is one of the world’s most trusted names in private jet charter. with only a 5% fee for online bookings, victor offers the broadest selection of quotes for charter flights at the best prices directly from the operators. with access to over 700 contracted aircraft, victor can get you airborne in less than 2 hours from almost any airport around the world on any aircraft type. we're a small and growing agile team. as a team we aspire to the hacker culture and we care about what we do. we want to produce simple, elegant solutions to difficult problems. we take pride in getting the job done right. we want to improve as individuals and improve the team and wider organisation around us. our development team use modern technologies, tools and methods to produce a product that our customers love. we want our applications to be ubiquitous; any time someone is booking a jet they'll be using the victor platform.we choose the best tools for the job and right now that's mostly node and angular, with mongodb and a smattering of python. for vacancies for our other companies, and global beach, please click on links below: "
962,f,nann
1843,t,nann
17580,t,nann
12609,f,"the onereach team is comprised of a diverse group of wonderful people from all walks of life.we’re currently hiring for several mission-critical roles and we welcome the opportunity to get to know people with perspective, skills, experience and passions that compliment ours. onereach makes it easy to create custom voice and sms applications, without writing a line of code - do it yourself or professionally designed. from the largest customer servicedepartments in theworld, to local coffee shop franchises,we’re making it easy for companies of all shapes and sizes to communicate in moremeaningful and practical ways with their customers and teams. we work well together and accomplish a lot, delivering great communication products that push the limits of customer expectations and experience. we're definitely a 'results-first' culture. this helps people to enjoy flexibility and many of the other perks that come with being part of a growing startup. everyone’s experience and perspective matters here. these are just some of many reasons that we have attracted smart people that are great to work with (and have only had 2 people leave in our 4.5 years!). we're looking forward to an opportunity to learn about you and what we could be accomplishing together."
11203,f,"ding* is the world’s largest top-up provider. created to help people working abroad to support and keep in touch with loved ones back home, ding* provides the simplest, quickest and best top-up service ever. by keeping mobiles topped up, ding* is making a real difference to people’s lives. we’ve our head office in dublin and also have homes in miami, dubai, bucharest, barcelona, dhaka and san salvador. what’s it like working here? ding* is currently providing 200 people the opportunity to top-up their careers every day. if you’re looking for a regular 9-5 role then this isn’t the place for you. if you want lots of challenges, a long to do list and plenty of opportunities then we’re your kind of place. like our service, we’re all super fast and super reliable. we’re informal but productive. you’ll be expected to get through high volumes of work and to keep coming back looking for more. in return we throw great parties and like to mark record days or other occasions with impromptu surprises. working at ding* gives you the opportunity to work with, and learn from, genuinely passionate and driven people. like our customers, our team members have joined us from all around the world. we come from different cultures, speak different languages yet we all share one thing in common; we care about sending top-up instantly and reliably. if you’re lucky enough to join the team, you’ll get to work in a great office environment without a gimmicky music room or sleep area but with truly spectacular coffee. and the best bit……we don’t hire schmucks, only team players with a sense of fun. "
5031,f,nann
15243,f,"cylance is a global cybersecurity products and service company, specializeing in advanced threat security that detects and stops zero-day malware and apt attacks. using advanced math and machine learning, coupled with the understanding of a hacker’s mindset, cylance provide a proactive, preventive approach to security."
16158,f,"the company: flashfunders ( ) flashfunders is an online equity-funding platform that empowers entrepreneurs with the tools and resources they need to raise capital from family, friends and angel investors in exchange for equity in an efficient, cost effective and compliant manner. with the backing of great partners we are assembling a world-class team to tackle the future of capital formation. how it works: flashfunders provides startups with free template investment documents and a platform to publicly market their offerings to receive investments from accredited investors (which flashfunders' verifies). flashfunders also provides assistance with all closing procedures once a startup is funded (such as issuing shares, filing forms, etc.). the best part about flashfunders is there's no cost for a startup to create and market an offering — flashfunders’ business model is predicated on receiving the right to invest at the same terms as all other investors. highlights… flashfunders is currently the only finra registered broker-dealer that is licensed to transact equity securities on the web. backed by europlay capital advisors (eca), founded by mark dyne (original investor inskype) and stubbs alderton markiles, llp (legal team for beats, linkedin and skype). we are live and already have a number of successful offerings: swapt,swggr,the influential network,igovern. on a lighter note, we’re pretty good at pingpong (lapingpong). "
9905,f,massive mediais the social media company behind the successful digital brandsurl_18234f381f5e7b9a9ffdc727cd05c9046edffb45bce85533c8f9b6d0216e925eandurl_af2b2f34d003dd6238fb60ec002a2f9df551ec9f8c6df8c980fc4fd8d24cc707. in november 2013 massive media bought and relaunched the social discovery platformstepout. we enable members to meet nearby people instantly. over 100 million people have joined our sites on web and mobile.
8755,f,hiring made easy for digital jobs
6202,t,"bradley contracting group corporation offers a wide range of b2b services through a plethora of different small business entities. we have sectors in many different industries. our main objective is to harness contracts with as many different small businesses, and corporations in the cincinnati tri-state area, and in the southern ohio region. bradley contracting group corporation has been around for almost 5 years doing work in different cities for various clients. we've worked out of louisville ky, charlotte nc, and atlanta ga. as of november 2013 we've established ourselves as transportation and courier service. some clients of note are fedex ground, and hhgreg. as a result of our own diligence and dedication to excellence we're also looking to expand into other markets as well as obtain contracts with lowes, best buy, the city of cincinnati, the state of ohio, and many different schools and districts of schools as well. we're in excellent standing with the state of kentucky and a registered foreign entity with the state of ohio. we're temporarily stationed out in hamilton, ohio within our transportation and warehousing facility we've recently acquired. our main focus is to establish a reputation of excellence, diligence, and innovation. if you feel you can live up to our motto, ""excellence no excuses."", we'd love to have you as a part of our team!"
11624,f,nann
