,fraudulent,description
16134,f,"impeccable writing and grammar skills in portuguese, english and spanish. excellent communication skills great time management skills, ability to multitask, and an attention to detail interest in working in a fast paced startup environment where being a self-starter is your key to success social media competency (twitter, facebook, forums, blogging) "
9915,f,"do you love to read, write, and research all things beauty and fashion? well, dreamers creators is looking for adetail-oriented, conscientious, and positive internto join our team! this position is perfect for someone whopossesses strong research and writing skills, is extremely organized and loves digital media. he or she should also have a love for all things personal style and beup to date with fashion news, social media sites, youtube and the e-commerce landscape. duties will include everything from editing blogs posts, researching beauty and fashion trends, assisting with photo/videoshoots, managing social media, administrative duties, uploading shopping credits for shopping stories— all while experiencing what it's like to work for a fast-paced creative agency. applicants should be reliable and hardworking individuals with a passion for learning. still interested? fill out the application below. good luck!"
17560,t,"hundreds of freelance jobs available every month for freelance designers, developers, writers and bloggers. part of saudilancer - the most popular freelance blog and community online | url: "
6846,t,"are you looking to make anywhere from 600-115,000$ a month? are you looking to be paid to take vacations? are you tired of working a 9-5 with no ability to grow in your field. do you want to be your own boss and set your own schedule of when you work? if you answer yes to any of these than we have the perfect opportunity for you. our company is based on 3 principles 1.saving money 2.making money 3.managing money. we offer financial soulutions to help you live financially free while making money showing others. we have over 5,800 national brand retailers where we recieve discounts!!"
5168,f,"we are seeking an nvq level 5 holder with experience as a registered manager to join a new cqc registered care agency. this job would initially be on an ad-hoc basis (minimum paid 1/2 day once a fortnight) with requirements growing as the business does.we will also accept applications from those seeking to hold this position temporarily, in addition to another job or those recently retired looking and for an oversight role."
1330,f,"job overview apex is an environmental consulting firm that offers stable leadership and growth, views employees as valuable resources, and rewards success with competitive pay, bonuses, and ownership opportunities. we are seeking a self-motivated administrative assistant to join our team in urbandale, ia and become an integral part of our continued success story. responsibilities this position entails general office duties supporting a variety of business functions including word processing, document production, filing, data management, billing/invoicing, travel arrangements, phone/client reception, and various other administrative assignments. this position pays $13-15 per hour depending upon experience. qualifications position requirements include a high school diploma and at least 2-5 years of office experience in a professional services environment. we are seeking an administrative professional with a demonstrated history of stable employment; strong written and oral communication skills; proficiency with adobe and microsoft office (word, excel, powerpoint, and outlook); and accounting knowledge including accounts payable and project invoicing. excellent attendance and punctuality as well as the ability to successfully perform multiple responsibilities simultaneously are required. the ideal candidate is a self-motivated individual with superior communication skills who excels in a team environment. want to join a team of talented professionals? submit your resume for consideration today! about apex apex is a customer-focused company that delivers environmental, health, safety and engineering services to over 700 clients across the united states and abroad. driven by an entrepreneurial spirit and a dedication to providing responsive, cost-effective solutions, apex has grown rapidly since our founding in 1988. working in partnership with our public and private sector clients, our team of experts provides services tailored to support each customer’s unique goals and objectives. by blending strong technical skills, business acumen, and superior customer service, we are able to deliver creative solutions that deliver high quality results at low cost. from commercial and industrial firms to construction, petroleum, and utility companies to financial institutions and government clients, apex has extensive experience in a wide variety of industries. our corporate professional resume includes proven capabilities in the areas of water resources, remediation and restoration, assessment and compliance, and industrial hygiene, among others. apex is an entrepreneurial firm, and ensuring that our senior managers are able to move unencumbered is our priority. we are a successful and growing mid-sized firm. we’re small enough that our employees still have access to our leadership, and it’s easy for high-performers to be recognized for their contributions and advance without bureaucracy. with over 30 office locations, we’re big enough to provide comprehensive environmental consulting and engineering services to our diverse client base and to provide resources to our employees to help in their professional development. apex companies, llc is an affirmative action/equal opportunity employer"
16046,f,"internships are available in various locations throughout emea (with specific focus on belgium, netherlands, germany, france and luxemburg). seen the growing state of both and the entire (crowd)funding domain, can make a huge impact. we see interns as a valuable source to become key players in our daily innovation and operations. our internships expose you to the technology, marketing and crowdfunding industry, as well as provide opportunities for personal and professional development. we are flexible on the terms (location, project focus, timing), but are looking for specific mindsets. we are looking for interns that have an entrepreneurial mindset, and want to contribute to an exceptional industry and company. "
17707,t,"2176 job title: edi coordinator role: information technology relocation available: no, but a short easy move may be okay. industry: i.t. location: connecticut town / city: norwalk job type: permanent full-time job description: we are looking for an edi it coordinator who is an expert in edi (850, 860, 870, 855) using inovis software as well as programming experience in:cognos, sql reporting, crystal reporting, business intelligence development(data etl, mapping, analysis service and reporting) experience using ms sql, server ssis, ssas, ssrs, ms sharepoint. knowledge of as400/rpg 400 is helpful. the edi coordinator should have prior experience with networking (pc) and cabling, microsoft exchange server,barracuda email archive software, windows products and any business intelligence softwarewhat we're looking for in an ideal candidate: 1. expert in edi (850, 860, 870, 855) using inovis software. 2. programming experience in cognos, sql reporting, and crystal reporting. 3. business intelligence development(data etl, mapping, analysis service and reporting). 4. experience with networking (pc) and cabling, microsoft exchange server, barracuda email archive software, windows products and any business intelligence software.5. experience using ms sql, server ssis, ssas, ssrs, ms sharepoint. knowledge of as400/rpg 400 is a plus. bottom line requirements: 1.expert in edi (850, 860, 870, 855) using inovis software. 2.programming experience in cognos, sql reporting, and crystal reporting. 3.business intelligence development(data etl, mapping, analysis service and reporting). 4.experience with networking (pc) and cabling, microsoft exchange server,barracuda email archive software, windows products and any business intelligence software. 5.experience using ms sql, server ssis, ssas, ssrs, ms sharepoint. knowledge of as400/rpg 400 is a plus. "
12805,f,"fly victor, the airbnb for private charter airlines is growing and one of the key areas for us is technology. after raising £5m in our second round of funding and we are now in the process of building a world class application across multiple platforms to go global with. who are we? we're a small and growing agile team. as a team we aspire to the hacker culture. we care about what we do. we want to produce simple, elegant solutions to difficult problems. we take pride in getting the job done right. we want to improve as individuals and improve the team and wider organisation around us. we use modern technologies, tools and methods to produce a product that our customers love. we want our applications to be ubiquitous; any time someone is booking a jet they'll be using the victor platform.we choose the best tools for the job and right now that's a native ios app, with our services powered mostly by node and angular, with mongodb. we have a smattering of python, and a .net application that's slowly being retired."
962,f,"execute all visual design stages from concept to final hand-off to engineering conceptualize original ideas that bring simplicity and user friendliness to complex design roadblocks create wireframes, storyboards, user flows, process flows and site maps to effectively communicate interaction and design ideas present and defend designs and key milestone deliverables to peers and executive level stakeholders establish and promote design guidelines, best practices and standards"
