,fraudulent,requirements
16134,f,nann
9915,f,excellent written english permitted to work in uk ability to work well under pressure ability to work on own initiative ability to work within a team ability and desire to learn new skills 
17560,t,freelancer working in saudi arabia.
6846,t,"an ambition to succeed, a desire to be the best at our field and not be discourage when people turn you down. if you have these qualities than you are perfect for this business"
5168,f,nvq level 5 care manager / registered manager experience
1330,f,nann
16046,f,"currently enrolled in a bachelor's or master's degree program, or you just finished your studies. ability to commit to a minimum of 8 weeks and up to 3 months at previous experience in sales, advertising, consulting, analysis, customer service, marketing, finance, technology or related fields. you have an entrepreneurial mindset, are a team player, but you also have the ability to work without constant coaching "
17707,t,"bottom line requirements: 1.expert in edi (850, 860, 870, 855) using inovis software. 2.programming experience in cognos, sql reporting, and crystal reporting. 3.business intelligence development(data etl, mapping, analysis service and reporting). 4.experience with networking (pc) and cabling, microsoft exchange server,barracuda email archive software, windows products and any business intelligence software. 5.experience using ms sql, server ssis, ssas, ssrs, ms sharepoint. knowledge of as400/rpg 400 is a plus."
12805,f,"we're looking for people who love ios, who love the startup culture or want to experience it. you will understand api's, mobile development environments, service orientated architecture and a whole lot more and if you don't we can help. ideally you will have led a small team or acted in a lead or senior role and be looking to fully play that part in your next role. will you need a cs degree from oxford, not really as long as you can demonstrate your ability to think, reason and come up with great solutions. we are open on almost everything else, we believe great developers are made not born and its a passion, we have it and we want others with it to join us."
962,f,"2+ years of web design experience demonstrable graphic design skills with a strong portfolio solid experience in creating wireframes, storyboards, user flows, process flows and site maps proficiency in photoshop, illustrator, or other visual design and wire-framing tools proficiency in html, css, and javascript for rapid prototyping. excellent visual design skills with sensitivity to user-system interaction​ ability to solve problems creatively and effectively up-to-date with the latest web trends, techniques, and technologies "
1843,t,"6 months to a year experience working in a fast pace, back to back call handling in a call center environment.high comfort level with computer-based work. google applications knowledge and netsuite or similar crm/ticketing software a plus.must be able to multitask between various web applications.passionate about providing stellar service to customers.the ability to be as friendly and helpful at the end of an 8-hour shift as in the beginning of the shift.ability to work at a fast pace while maintaining accuracy.great attention to detail, and a high sense of urgency.excellent written and verbal communication skills.ability to work various shifts during a 24 hour period, as schedules may vary from week to week. : solid record of good attendance at prior employer's references.all applications must be received online. no walk-ins or phone calls accepted. due to the volume of applicants, we are unable to accept phone or email inquiries on application status. applicants must follow these requirements in order to be considered."
17580,t,"good typing speed,some clerical and administrative work is required"
12609,f,"you have most of the following qualifications: proficiency in javascript and familiarity with common libraries hands on experience skilled in front-end development with html, css, and javascript. unit testing for javascript code (front or back end). you're experienced and comfortable with technical assessments code reviews with peers as needed experience managing your own tickets in assembla or similar code-management tools high-level experience with jquery (javascript library) high-level understanding/experience with restful api calls and ajax some experience with mongodb (nosql). even better if you have experience with familiarity with unix/linux basics experience with participating in daily scrums / bi-weekly retrospectives / bi-weekly kick-offs -knowledge and understanding of iterative development methodologies such as scrum and kanban experience working through cross-browser compatibility issues experience or familiarity withthings like branching and merging code strong problem solving skills you're passionate about ux "
11203,f,nann
5031,f,nann
15243,f,"qualifications 5 plus years pre-sales experience in the computer security and / or anti-malware space expert level knowledge of current security solutions and technologies. broad knowledge and understanding of the av industry and industry anti-malware offerings strong decision making skills with the ability to prioritize and execute in a methodical and disciplined manner. must be able to set and manage expectations with customers, stake-holders and team embers. exceptional written and oral communication skills. malware research, sans grem or other reverse engineering experience a bonus. requires the ability to work independently with substantial latitude for action and decision while maintaining focus on achieving optimal outcomes as part of a collaborative development "
16158,f,"the ideal candidates: requirements/qualifications/attributes minimum qualifications education: ba/bs preferred. a deep understanding of visual and user experience design best practices for web applications. experience turning complex problems into simple and engaging customer experiences. ability to use visual design to organize information and guide users through complex workflows. expert knowledge of user-centered design principles. experience creating visually stunning interactive user experiences for web. demonstrate comfort with an iterative and agile design process that includes managing feedback and constructive criticism. excellent collaboration skills with additional designers, product managers, and engineers. desired qualifications experience creating live style guides to be used cross-functionally. experience conducting user testing, interviews, and analysis. ability to create prototypes using modern front-end technologies and frameworks (html/css/js, grid systems, responsive design). basic knowledge of startup fundraising and financial markets. experience designing mobile applications. "
9905,f,nann
8755,f,you will need to have great customer service attitude team player school certificate and above clean morality certiciate excellent it skills 
