fraudulent,description
t,the group has raised a fund for the purchase of homes in the southeast. the student on this project will help them build their investments from the ground up and will help with the analysis and modeling of their investments. we should be looking for someone with a strong general finance skills and has a lot of entrepreneurial ability.
t,sales executive
t,"a newly established company seeks outgoing, friendly people person with a can do attitude for a admin assistant/ receptionist position yet to be occupiedjob duties include answering phones, setting appts and working with the owner to keep the office running smooth. processing of tax returns, keeping database current and scanning of all tax documents."
t,"administrative assistantessential job responsibilities:answering and routing telephone calls to appropriate peoplescheduling appointmentsmaintain paper and electronic filing systems for records and messageslimited courier responsibilitiesperform any additional duties as assigned or requestedrequired qualifications:at least two years of experience and knowledge to perform essential job functions assignedable to work in a fast-pace environment and be able to multi-taskexcellent communication skills and computer knowledge (quickbooks a plus)well organized, highly dependable, and efficientmust have problem solving skills and be detailed orientedmaintain respect at all times for confidential informationstarting pay $25/hrbenefits:401k plan with company matchingmedical, dental, vision coveragevacation paydisability insurancelong-term care insurancegrowth opportunities"
f,"normal 0 false false false en-us x-none x-none /* style definitions */   {mso-style-name:""table normal""; mso-tstyle-rowband-size:0; mso-tstyle-colband-size:0; mso-style-noshow:yes; mso-style-priority:99; mso-style-parent:""""; mso-padding-alt:0in 5.4pt 0in 5.4pt; mso-para-margin-top:0in; mso-para-margin-right:0in; mso-para-margin-bottom:8.0pt; mso-para-margin-left:0in; line-height:107%; mso-pagination:widow-orphan; font-size:11.0pt; font-family:""calibri"",""sans-serif""; mso-ascii-font-family:calibri; mso-ascii-theme-font:minor-latin; mso-hansi-font-family:calibri; mso-hansi-theme-font:minor-latin;} graduationsource is seeking someone to help customers custom products become a reality, celebrate achievements, and become an account ninja. this person is the designs and helps our customers select some of our coolest products, the custom ones. you are a one person army, you design, work with clients, and at the end of the day make sure everything went off perfectly. while we sell graduation caps and gowns, our culture is anything but a clothing manufacturer . the office is located in a reclaimed paint factory, the first test in the interview is to see if a candidate can navigate the building with all the secret passages and stairwells that only go to certain floors. we tend to call it our own little hogwarts, minus the moving stairs and paintings that help you find your way. the company itself is owned by a parent company (the gordon group) that sits in the same office and owns a number of growing companies, including avanti systems, and is opening a startup incubator for gen z this summer. so you will be working with some of the best minds in digital marketing, web development, customer service, and entrepreneurial development in an open environment that allows for collisions and collaboration to thrive. we hire and fire based on our culture so we advise you do some research on our company, read some of the articles we have published, and let us know why you would be a good fit. some of the fun things we do includ: · book club · training events for both personal and professional development are held regularly · monthly activites that vary (past events have included deep sea fishing, paintball, kite flying, the electric run) · develop leadership from within through a mentor program · go to a ton of events for company and personal development. "
t,accepting online applications only click here to apply this is a full time temporary position lasting for 2 years description validate and review legal contractual agreements for customers input contract into contract databases all contracts completed reviewed within per-determined service level agreement professional e-mail interaction with customers scanning and uploading of documents qualifications high school diploma or equivalent professional communication skills via e-mail interaction dedicated to the needs of the business project management skills to assist in facilitating multiple contract rejects detail oriented able to multi-task ability to work with time sensitive documents must be able to work independently but able to perform in a team environment when needed. fast and accurate typist accepting online applications only click here to apply
f,"the international broadcaster shall have at least five (5) years of current experience. the international broadcaster shall perform a combination of services that will include researching, interviewing, writing and voicing original news stories and reports. the international broadcaster shall have the ability to adapt material for radio, television and/or internet about events in the target region, the u.s. and other countries. the individual shall produce and edit reports using compatible digital technology and shall be able to record and process interviews by phone, live face-to-face or in the field. the individual shall have extensive knowledge of the target region, its people, culture, institutions and political situation, and the ability to adapt english material to the target language and adapt the target language to english. the international broadcaster shall possess and employ basic multimedia skills as required in the completion of each assignment, including the ability to take still photographs and record video via smartphone during field reporting assignments, and to upload photos and videos as needed to agency-based file servers. he or she shall assess different information to validate the comprehensiveness, accuracy and balance of news products, and shall demonstrate high standards of journalism and news experience. he or she shall have the ability to function as news announcer on live or pre-recorded news bulletins or newscasts; for video assignments the international broadcaster shall wear attire suitable for the assignment. the international broadcaster shall be familiar with the agency’s best practices guide and shall adhere to its policies."
t,"this position is for an administrative assistant whose job will primarily consist of calling prospects that have expressed interest in our services and have requested to be contacted. work-from-home is an option. there is absolutely no cold-calling involved, what-so-ever. this person will need to be pleasant, professional, and comfortable with talking to senior-level managers and executives. attention-to-detail is a must as there is to be extensive tracking that needs to be made with each prospect."
t,"6* ultra luxury american cruise company is urgently looking for the following positions:*hospitality- for the many bars restaurants on board.*retail- for the duty free shops boutiques on board.*housekeeping- for the housekeeping cleaning jobs.*office admin- for the front desk tour booking jobs*other positions- dj's, security staff, photographers nannies. vessel type or operation:6* ultra luxury cruise.certification experience:previous experience (not required)good english speaker, some customer service skills, wanting to learn work.job type:perm.sailing area:world wide.benefits:on board en suite accommodation and food, medical cover for duration of contract,world work visa, free wifi,tax free salary more! job description:a 6* ultra luxury cruise company are looking to recruit hardworking, enthusiastic cruise personal.this exciting opportunity is available to candidates who are willing to learn, work are flexible.candidate will also have some customer service skills, skills in public relations and are good english speakers.rotation is 4 months on 2 months off. great salary in euros (tax free)pay is discussed via communication after full application proccess. if you are looking for a new adventure.. apply today! please send your resume to: email_6e824a2834da27298c6d199e4d1829b32ca54fc0bacb0acf6d748f04fc69953b (coppy paste this e-mail address)we will contact you shortly after within 24 hours. looking forward to have you aboard.adrian westdept. rec."
t,"this is for the kmc project. we are looking for someone who is reliable and has the ability to work between 8-11 hours each week. this would include potentially over christmas break, but we will manage the program so that the workers can split the break in half and only work for part of the break (although for increased hours during that ten day span). we will give preference to those with pcs but it is not a deal breaker."
