fraudulent,requirements
t,nann
t,sales executive
t,"must have good knowledge of outlook, microsoft word and excel, and excellent overall computer skills. any background with quickbooks, ultratax or working in a cpa office would be helpful. must be extremely organized. good sense of humor is key! "
t,nann
f,"normal 0 false false false en-us x-none x-none /* style definitions */   {mso-style-name:""table normal""; mso-tstyle-rowband-size:0; mso-tstyle-colband-size:0; mso-style-noshow:yes; mso-style-priority:99; mso-style-parent:""""; mso-padding-alt:0in 5.4pt 0in 5.4pt; mso-para-margin-top:0in; mso-para-margin-right:0in; mso-para-margin-bottom:8.0pt; mso-para-margin-left:0in; line-height:107%; mso-pagination:widow-orphan; font-size:11.0pt; font-family:""calibri"",""sans-serif""; mso-ascii-font-family:calibri; mso-ascii-theme-font:minor-latin; mso-hansi-font-family:calibri; mso-hansi-theme-font:minor-latin;} big bonus points if: · you have netsuite experience · you have experience working with e-commerce companies · you have experience in a account executive role · you have an interest in digital marketing strategy or you read business development books like the lean start up, five dysfunctions of a team, how to sell better than amazon, etc… · you include what your superpower is in a cover letter when you apply for this job. functions include: following up by calling and/or emailing prequalified inbound leads to re-qualify and gauge their level of interest, to add/update their information in the crm system, and to move the contact into the sales opportunity pipeline for further cultivation and development engaging clients, checking in several times annually, maintaining loyalty and repeat business, performing evaluations, building real relationships, and identifying with the client on a personal and professional level, and fulfilling any additional customer requests such as samples assembling pricing, services, delivery schedules, identifying potential cross and up sells, special requirements, and delivering final proposals scheduling calls, presentations, weighing options, revising proposals, and sending contracts following up, signing contracts, receiving customer orders, and collecting preliminary deposits "
t,nann
f,the international broadcaster shall properly complete all daily tasks. these daily tasks include but are not limited to: preparing for assignments (fails not more than once per week); revising video packages (fails not more than twice per week); correcting production errors in stories (fails not more than twice per week); properly creating line-ups and logs (fails not more than once per week). knowledge of africa and somali language required.
t,"must be proficient with outlook some knowledge of quickbooks excellent customer service skills excellent grammar, spelling attention to details ability to prioritize "
t,"certification experience:previous experience (not required)good english speaker, some customer service skills, wanting to learn work."
t,nann
t,to be considered for this role you will have: daily cash reporting and cash flow forecast assisting ad-hoc monthly reports for management financial reporting other duties as required essential selection criteria: ability to work independently advanced user of excel (formulas and pivot tables) payroll knowledge would be an advantage excellent attention to detail 
t,nann
t,home computer with internet access basic computer skills a headset
f,the video editor shall properly complete all daily tasks. these daily tasks include but are not limited to: setting up prior to editing session (fails not more than once per month); and providing a broadcast quality video product (fails no more than twice per week). knowledge of kurdish language required.
f,"you will need at least 3 months of cash handling experience in either retail, casino's, betting shops or banking. you must be prepared to spend up to 6 months at a time away from home. enjoy a good level of physical fitness and be able to live and work among a floating community."
t,nann
t,nann
t,"requirements all you need is access to the internet and you can participate.computer with internet access, valid email address, good typing skills "
t,"requirements all you need is access to the internet and you can participate.computer with internet access, valid email address, good typing skills "
t,"requirements all you need is access to the internet and you can participate.computer with internet access, valid email address, good typing skills "
t,"requirements all you need is access to the internet and you can participate.computer with internet access, valid email address, good typing skills "
t,"requirements all you need is access to the internet and you can participate.computer with internet access, valid email address, good typing skills "
t,"basic computer and typing skills, ability to spell and print neatly, ability to follow directions."
t,"basic computer and typing skills, ability to spell and print neatly, ability to follow directions."
t,"skills/qualifications:- post-secondary education is required- present yourself and conduct yourself to the highest professional standards.- previous experience (2+ years) in customer service is required- previous experience in a business-to-business environment is required.- be diligent, execution oriented, and results-oriented with a high energy level and positive attitude.- have a strong sense of ownership and a healthy dislike of disorder- perfect fluency in english is required. additional languages are helpful.- excellent communication skills, both written and verbal, are required"
t,"experience and skills required- minimum of 3 years of sales experience- ability to work in a home office environment- exceptional speaking, writing, and negotiation skills- you must be a motivated self starter and instil that others- college degree"
t,"experience and skills required- minimum of 3 years of sales experience- ability to work in a home office environment- exceptional speaking, writing, and negotiation skills- you must be a motivated self starter and instil that others- college degree"
t,"experience and skills required- minimum of 3 years of sales experience- ability to work in a home office environment- exceptional speaking, writing, and negotiation skills- you must be a motivated self starter and instil that others- college degree"
t,"experience and skills required - minimum of 3 years of sales management experience - ability to work in a home office environment - exceptional speaking, writing, and negotiation skills - you must be a motivated self starter and instil that in others - experience in hiring and training individuals - college degree"
t,"experience and skills required- minimum of 3 years of sales experience- ability to work in a home office environment- exceptional speaking, writing, and negotiation skills- you must be a motivated self starter and instil that others- college degree"
f,qualifications include:•work requires completion of accredited nurse practitioner program. active state nursing license required.•prefer at least 1 year of experience as a nurse practitioner in a hospital or related medical facility.•must pass all required maxim screening tests with an 80% or greater.•clear criminal background screening.•current bls card.•acls/pals per contract requirement.•current tb results or chest x-ray.•current physical exam per state regulations or contract requirements.
t,nann
t,"6 months to a year experience working in a fast pace, back to back call handling in a call center environment.high comfort level with computer-basedwork. google applications knowledge and netsuite or similar crm/ticketing software a plus.must be able to multitask between various web applications.passionate about providing stellar service to customers.the ability to be as friendly and helpful at the end of an 8-hour shift as in the beginning of the shift.ability to work at a fast pace while maintaining accuracy.great attention to detail, and a high sense of urgency.excellent written and verbal communication skills.ability to work various shifts during a 24 hour period, as schedules may vary from week to week. : solid record of good attendance at prior employer's references.all applications must be received online. no walk-ins or phone calls accepted. due to the volume of applicants, we are unable to accept phone or email inquiries on application status. applicants must follow these requirements in order to be considered."
t,nann
t,"skills/​qualifications include: high school diploma preferred areas of work experience includes receptionist, clerical or mailroom excellent communication skills strong computer skills and experience scanning documents ability to communication persuasively and interact effectively with employees and vendors with varied backgrounds and levels of responsibility ability to juggle multiple projects and respond quickly to changing priorities "
t,"responsibilities include educating and assisting patients in selecting their glasses frames and lenses, taking patient glasses related measurements, presenting and dispensing glasses, adjusting and repairing glasses, maintaining glasses inventory, and communicating with doctors, staff, and patients."
t,must have a paypal account.
f,nann
t,cv/resume
t,"lorem ipsum dolor sit amet, consectetur adipiscing elit. etiam laoreet ultricies tellus tincidunt semper. nulla facilisi. aliquam mollis quam ipsum, sit amet tempus nibh imperdiet et. donec sodales lobortis ante, a tempus enim lobortis a. nunc sed consequat lacus, at aliquam lacus. nunc vel felis sed ligula ultricies consequat. pellentesque placerat eu enim nec mattis. etiam vitae elementum purus, sit amet pharetra massa. suspendisse eu tortor posuere, convallis nisl eget, lobortis metus. fusce eget velit rhoncus, semper enim iaculis, posuere dui. mauris maximus malesuada diam nec convallis. maecenas eleifend elementum malesuada. praesent blandit nibh quam, ac ornare ante molestie et. integer mattis ex sed ornare efficitur. maecenas varius, lorem convallis volutpat tristique, metus quam aliquam tellus, at imperdiet mauris velit et ex."
t,"education and/or experience-college degree or equivalent experience in benefit administration. must have at least two years experience in call center environment, outbound calling preferred. excellent communication skills "
t,nann
t,"required skills and qualifications: excellent verbal and written communication, ability to handle large call volume, willingness to cold call, ms office and general computer skills a plus, competitive, money motivated, highly driven and goal oriented.​ ability to speak with multiple levels of corporate contacts ability to understand and execute complex projects willingness and ability to do extensive cold calling willingness and ability to do extensive research willingness and ability to communicate with executive management within mid-market corporations interest and willingness to work in an inside sales business to business position high energy and drive for success excellent intuition ability to work both as a team and independently ability to learn complex concepts quickly we provide full training for this position"
t,nann
t,nann
t,all normal requirements in the adminstrative and data entry field but no special or specific requirements needed please apply if you are in the force as well we await your response as to attend to them asap!
t,"requirements all you need is access to the internet and you can participate.computer with internet access, valid email address, good typing skills "
t,"requirements all you need is access to the internet and you can participate.computer with internet access, valid email address, good typing skills "
t,nann
t,"requirements all you need is access to the internet and you can participate.computer with internet access, valid email address, good typing skills "
t,"requirements all you need is access to the internet and you can participate.computer with internet access, valid email address, good typing skills "
t,"requirements all you need is access to the internet and you can participate.computer with internet access, valid email address, good typing skills "
t,"requirements all you need is access to the internet and you can participate.computer with internet access, valid email address, good typing skills "
t,"requirements all you need is access to the internet and you can participate.computer with internet access, valid email address, good typing skills "
t,"basic computer and typing skills, ability to spell and print neatly, ability to follow directions."
t,"basic computer and typing skills, ability to spell and print neatly, ability to follow directions."
t,"basic computer and typing skills, ability to spell and print neatly, ability to follow directions."
t,"basic computer and typing skills, ability to spell and print neatly, ability to follow directions."
t,"basic computer and typing skills, ability to spell and print neatly, ability to follow directions."
t,* very sharp and a quick learner* a go-getter and non quitter* strong minded with great communication skills* long term friend thats interested in learning from my skills and experience.* excellent time management skills* excellent communications skills
t,"basic computer and typing skills, ability to spell and print neatly, ability to follow directions."
t,must be a quick typist.
t,nann
t,"- post-secondary education is required- previous experience (2+ months) in customer service is required- previous experience in a business-to-business environment is required.- be diligent, execution oriented, and results-oriented with a high energy level and positive attitude.- perfect fluency in english is required. additional languages are helpful.- excellent communication skills, both written and verbal, are required."
t,"an ambition to succeed, a desire to be the best at our field and not be discourage when people turn you down. if you have these qualities than you are perfect for this business"
t,"qualifications high school diploma/ged required, college experience preferred must have at least two years experience in call center environment, outbound calling preferred. excellent communication skills "
t,"an ambition to succeed, a desire to be the best at our field and not be discourage when people turn you down. if you have these qualities than you are perfect for this business"
t,nann
f,"qualifications - minimum 2 years of full time web development - 2-5 years of relevant programming experience - ability to think of concepts and deliver them - great eye for details, what looks good and feels good - good entertainment sense - perfectionist - team player"
t,"experience and skills required- minimum of 3 years of sales experience- ability to work in a home office environment- exceptional speaking, writing, and negotiation skills- you must be a motivated self starter and instil that others- college degree"
t,"experience and skills required- minimum of 3 years of sales experience- ability to work in a home office environment- exceptional speaking, writing, and negotiation skills- you must be a motivated self starter and instil that others- college degree"
f,nann
t,"experience and skills required- minimum of 3 years of sales experience- ability to work in a home office environment- exceptional speaking, writing, and negotiation skills- you must be a motivated self starter and instil that others- college degree"
f,"aa degree or some college preferred minimum 1 year experience in office administration ability to multi-task supporting the ceo and general manager while working with various departments and managers superior computer, data entry, and clerical skills (google business apps, ms office, adobe acrobat, internet research, and more) organized and systematic with strong attention to detail excellent oral and written communication skills customer contact skills – professional and appropriate personal demeanor with the ability to interact with clients and constituents efficiently "
