fraudulent,description
1,"ice technician | bakersfield, ca mt. poso principal duties and responsibilities: calibrates, tests, maintains, troubleshoots, and installs all power plant instrumentation, control systems and electrical equipment. performs maintenance on motor control centers, motor operated valves, generators, excitation equipment and motors. performs preventive, predictive and corrective maintenance on equipment, coordinating work with various team members. designs and installs new equipment and/or system modifications. troubleshoots and performs maintenance on dc backup power equipment, process controls, programmable logic controls (plc), and emission monitoring equipment. uses maintenance reporting system to record time and material use, problem identified and corrected, and further action required; provides complete history of maintenance on equipment. schedule, coordinate, work with and monitor contractors on specific tasks, as required. follows safe working practices at all times. identifies safety hazards and recommends solutions. follows environmental compliance work practices. identifies environmental non-compliance problems and assist in implementing solutions. assists other team members and works with all departments to support generating station in achieving their performance goals. trains other team members in the areas of instrumentation, control, and electrical systems. performs housekeeping assignments, as directed. conduct equipment and system tagging according to company and plant rules and regulations. perform equipment safety inspections, as required, and record results as appropriate. participate in small construction projects. read and interpret drawings, sketches, prints, and specifications, as required. orders parts as needed to affect maintenance and repair. performs operations tasks on an as-needed basis and other tasks as assigned. available within a reasonable response time for emergency call-ins and overtime, plus provide acceptable off-hour contact by phone and company pager. excellent verbal and written communications skills: ability to coordinate work activities with other team members on technical subjects across job families. ability to work weekends, holidays, and rotating shifts, as required. "
1,the group has raised a fund for the purchase of homes in the southeast. the student on this project will help them build their investments from the ground up and will help with the analysis and modeling of their investments. we should be looking for someone with a strong general finance skills and has a lot of entrepreneurial ability.
1,"technician instrument controlslocation deweyville, txlocation name: nrg cottonwood energycategory: maintenancestate/city: us-tx-deweyvilletype: full time hourly openings: 1 details about this career opportunity:overview:company profile:we deliver cleaner and smarter energy choices for our customers, backed by the nation’s largest independent power generation portfolio of fossil fuel, nuclear, solar and wind facilities. a fortune 500 company is challenging the u.s. energy industry by becoming the largest developer of solar power, building the first privately-funded electric vehicle charging infrastructure, and providing customers with the most advanced smart energy solutions to better manage their energy use. in addition to 47,000 megawatts of generation capacity, enough to supply nearly 40 million homes, our retail electricity providers serve more than two million customers.general summarythe instrumentation controls and electrical technician (ice) is responsible for the maintenance and repair of all instruments, control systems and electrical equipment in the power plant and the associated facilities. the ice technician performs work of high skill in the inspection repair, testing, adjustment, installation and removal of all electronic and electrical power plant equipment and systems.primary functions-safely perform preventive and corrective maintenance on all plant equipment, systems, and emergency backup systems.-maintain complete equipment files, logs, and drawings for all designated equipment.-assist in maintaining and controlling spare parts inventory to maintain plant reliability. assist in physical inventories.-participate in the administrative maintenance of the plant operating manuals, technical references, prints and diagrams and preventive/predictive maintenance records.-inspect repair, install and remove all types of motors, generators, transformers, switches, control equipment, wiring, electrical signal and communication systems, and storage batteries, and work with electrical systems up to and including 4160 volts.-conduct trouble shooting and analysis on dcs, plc and ge mark vi turbine control equipment.-maintain all plant instrumentation and electrical test equipment.-fully support and participate in naes safety and regulatory compliance programs.-complete other tasks as assigned by the maintenance manager or the plant manager.scope of responsibilitythe ice technician operates from established and well-known procedures under minimum supervision, performing duties independently with only general direction given. decisions are made within prescribed operating and casualty procedures and guidelines. the ice technician encounters recurring work situations of high complexity, with occasional variations from the norm.the ice technician must perform work in a safe manner resulting in no accidents, in compliance with all environmental permits at all times. the ice technician must effectively communicate information to supervision and fellow plant personnel, relative to the condition of the plant equipment and performance, and provide suggestions for plant improvements. the ice technician must perform duties in such a way to result in an optimum cost-benefit ratio.the ice technician may also be assigned the additional responsibility of maintenance coordinator/planner for the site. this is a collateral assignment given to a selected maintenance department technician to assist the operations and maintenance manager with the routine planning and coordination of the site equipment maintenance.the duties include:-the planning and review of the preventative, predictive and pro-active type maintenance.-a more in-depth knowledge and ability to use the cmms system to provide the necessary review and planning to support the om manager in weekly work routines.-ability to provide the cognitive coordinated efforts necessary to ensure that weekly routines and preventative maintenance are scheduled and documented as complete when the respective maintenance technician indicates that the work has been performed.-provide the coordination efforts necessary in support of allowing the om manager to provide the necessary supervision and direction of the maintenance technicians.all employees have the responsibility to both the customer and their co-workers to do the job right the first time and to ensure the customers' needs are being met."
1,sales executive
1,"ice technician | bakersfield, ca mt. poso principal duties and responsibilities: calibrates, tests, maintains, troubleshoots, and installs all power plant instrumentation, control systems and electrical equipment. performs maintenance on motor control centers, motor operated valves, generators, excitation equipment and motors. performs preventive, predictive and corrective maintenance on equipment, coordinating work with various team members. designs and installs new equipment and/or system modifications. troubleshoots and performs maintenance on dc backup power equipment, process controls, programmable logic controls (plc), and emission monitoring equipment. uses maintenance reporting system to record time and material use, problem identified and corrected, and further action required; provides complete history of maintenance on equipment. schedule, coordinate, work with and monitor contractors on specific tasks, as required. follows safe working practices at all times. identifies safety hazards and recommends solutions. follows environmental compliance work practices. identifies environmental non-compliance problems and assist in implementing solutions. assists other team members and works with all departments to support generating station in achieving their performance goals. trains other team members in the areas of instrumentation, control, and electrical systems. performs housekeeping assignments, as directed. conduct equipment and system tagging according to company and plant rules and regulations. perform equipment safety inspections, as required, and record results as appropriate. participate in small construction projects. read and interpret drawings, sketches, prints, and specifications, as required. orders parts as needed to affect maintenance and repair. performs operations tasks on an as-needed basis and other tasks as assigned. available within a reasonable response time for emergency call-ins and overtime, plus provide acceptable off-hour contact by phone and company pager. excellent verbal and written communications skills: ability to coordinate work activities with other team members on technical subjects across job families. ability to work weekends, holidays, and rotating shifts, as required. "
1,if you have experience in financing for auto sales and a great attitude you can work in our hazelcrest office. from $500 top $1000 a week by contract.
1,"a newly established company seeks outgoing, friendly people person with a can do attitude for a admin assistant/ receptionist position yet to be occupiedjob duties include answering phones, setting appts and working with the owner to keep the office running smooth. processing of tax returns, keeping database current and scanning of all tax documents."
1,"apply below using link   skynet managed technology services, a leading it consulting firmbased in columbus, ohio, is seeking a dynamic sales professionalwho can hunt, identify opportunities, and sell technology solutionsand professional services. this is a consultative sales positiondealing directly with a variety of business contacts from c-levelto administrative. experience in selling technology serviceswill give you the advantage.responsibilities:actively pursue new business opportunities through prospecting,cold calling, qualifying, scheduling appointments, andnetworkingmeet or exceed targeted monthly, quarterly, and annual salesactivity and sales revenue goalsmaintain the customer relationship management (crm) database ofclient and prospect informationmanage activities, leads, opportunities, and salespipelinerequirements:bachelor's degree or equivalent preferredminimum 3 years consultative business-to-business salesexperiencedemonstrated success in prospecting, cold calling, qualifyingand overcoming objectionsfamiliarity with technology industryexceptional verbal, written, interpersonal, and presentationcommunication skillscustomer focused attitude ensuring the highest level of supportto our customer baseprofessional appearance and conductability to quickly establish rapport with a variety of businessdecision makersability to understand and execute a professional salesmethodologyunderstanding of microsoft office productsexperience with crmhigh energy, self starterskynet managed technology services was founded in 2002 toprovide technology support to small and medium sized businesses. wecover a wide-range of solutions for businesses throughout thecountry. everything from project consulting, internetsolutions, and a complete it department. our objective is toeradicate the hassles of it from our client's lives and let themfocus on dominating in their industry.excellent compensation plan includes base pay, commissions,performance incentives, training and benefits.to apply:e-mail resume and cover letter with salary requirements to."
1,"senior engineering product manager as a member of the service provider engineering team, you will be responsible for managing the development of broadband dsl products targeted at service providers that provide home gateway, voice gateways, wireless adapters, iptv and voice over ip (voip) services. these products will incorporate one or several of the following technologies: dsl, routers, 802.11 wireless, vpn, firewalls. the primary function of an engineering product manager is project management and technical oversight. the individual manages the odm to ensure that products are delivered in a timely fashion to a high quality and in accordance with the procedures and systems. in addition the individual oversees the activities between the component vendors and the odm. within the service provider group, another important project management aspect is working with the sales engineers to get products approved at service providers. the individual must manage the technical issues that arise during the approval process and ensure a rapid resolution by working with and through the sales engineers, odms and component vendors. a word from the recruiter:""some of the exciting things that retain engineers here are the new technologies that we integrate into our products. most people hear about these technologies 9 months after the product development has launched,our engineers actually start learning about the new technologies in advance of any silicon introductions.in most cases, we are an early partner to silicon vendors and help guide the silicon features. this is extremely rare for many of the new members,once they do the first project they want more and more.as you can imagine the value of that engineer is much greater then when they walked in the door.""""most engineers that i interview have been disappointed by their employers, and when asked how much ownership they have of the product they developed, the answer is always something like : i only did this this portion of the software, or some portion of the chip, or some portion of the hardware. not much of an empowerment here. here, thepe is the complete owner of every molecule of the product,including mechanical, operation, finance, cost, etc. this empowerment is another added value boost an engineer could benefit from,this value is rare and will push the engineer in the direction of someday running a business end to end with a larger responsibility and scope.the more of these projects they take the faster they reach that level of career growth and maturity.""this is what not shared on the jd.""how you will mature your career.""job responsibilities:• for assigned projects, take overall responsibility for delivering the product to production; including requirements generation, hardware, firmware, documentation, regulatory testing and agile release requirements, per netgear policies. it is expected that projects should be managed with minimal supervision.• project management. develop and maintain project plans. keep all stakeholders informed of product status at all times• project execution. manage the suppliers' (odm, chip vendor, etc.) product development process.• product verification. manage verification testing of product features and performance.• customer certification. manage qualification of products with customers.• documentation. provide input for manuals, help files, application notes, marketing materials and tech support.• support. resolve any 3 rd level technical support escalations.• track industry technology developments, supplier roadmaps, standards bodies and make product recommendations"
1,"apply using below link   the quality improvement manager is responsible for the furtherdevelopment, operation, oversight and evaluation of the floridahealthcare plus (fhcp) quality improvement program as documented inthe fhc quality work plan. positionreponsibilities: manage the fhcp quality improvement programsupport and oversee the activities of the fhcp q.i.sub-committeesdocument and report the progress of the fhcp quality cycleimplement, manage and oversee the quality element of the fhcpmodels of caredevelop and manage the fhcp pre-accreditation auditprogramdevelop and support the fhcp continuous process improvementprogramoperate the fhcp quality of care investigation and trackingprogramoversee and support the fhcp quality study activities andinterventionsoperate the fhcp vendor, provider and staff quality trainingand audit programsupervise of the qi nurse coordinatorother responsibilities as assigned by the fhcp director ofperformance and qi.positionspecifications:education and experience: weare seeking a rn with a minimum 2 years of experience in managedcare qi. a successful candidate will have a demonstrablehistory of managing managed care quality programs including thesuccessful support of accreditation or reaccreditation reviews andgovernment payer quality audits. experience with hedis andcahps improvement activities is desirable.special skills: the candidate must be aself-motivated, extremely energetic leader of people with strongmanagement and organization skills and the capacity to frame theirresponsibilities as a service to the internal and externalcustomers of fhcp. the candidate must be able to efficientlyand effectively document the activities of the managed care qualitycycle in the form of committee minutes, policies and procedures,audit preparation activities and other oversight and managementactivities as denoted above. the candidate must be able tosuccinctly articulate concepts of quality improvement asapplicable to the varied areas of managed care operation in bothwritten and verbal formnature of work: healthcare industry experiencesolid organizational skills and focus on accuracy and attentionto detail.excellent analytical, problem solving and troubleshootingabilitiesself-motivated with the ability to work both independently andin a team environment"
